"","environment","type","value"
"2017-10-30 04:45:02","dev","Airline",1
"2017-10-30 04:45:33","dev","Airline",1
"2017-10-30 04:46:05","dev","Airline",1
"2017-10-30 04:46:48","dev","Train",1
"2017-10-30 04:47:14","dev","Cruise",1
"2017-10-30 05:55:24","dev","Airline",1
"2017-10-30 05:55:54","dev","Airline",1
"2017-10-30 05:56:25","dev","Airline",1
"2017-10-30 05:57:06","dev","Train",1
"2017-10-30 05:57:31","dev","Cruise",1
"2017-10-30 06:35:07","dev","Airline",1
"2017-10-30 06:35:34","dev","Airline",1
"2017-10-30 06:36:05","dev","Airline",1
"2017-11-23 04:45:02","dev","Airline",1
"2017-11-23 04:45:33","dev","Airline",1
"2017-11-23 04:46:05","dev","Airline",1
"2017-11-23 04:46:48","dev","Train",1
"2017-11-23 04:47:14","dev","Cruise",1
"2017-11-23 05:55:24","dev","Airline",1
"2017-11-23 05:55:54","dev","Airline",1
"2017-11-23 05:56:25","dev","Airline",1
"2017-11-23 05:57:06","dev","Train",1
"2017-11-23 05:57:31","dev","Cruise",1
"2017-11-23 06:35:07","dev","Airline",1
"2017-11-23 06:35:34","dev","Airline",1
"2017-11-23 06:36:05","dev","Airline",1
"2017-11-23 06:36:47","dev","Train",1
"2017-11-23 06:37:13","dev","Cruise",1
"2017-11-23 11:25:26","dev","Airline",1
"2017-11-23 11:28:39","dev","Airline",1
"2017-11-23 11:41:13","dev","Airline",1
"2017-11-23 11:44:36","dev","Airline",1
"2017-11-23 11:49:27","dev","Airline",1
"2017-11-23 11:56:24","dev","Airline",1
"2017-11-23 14:00:31","dev","Airline",1
"2017-11-23 14:20:59","dev","Airline",1
"2017-11-23 14:40:30","dev","Airline",1
"2017-11-23 15:16:33","dev","Airline",1
"2017-11-23 15:32:09","dev","Airline",1
"2017-11-23 15:37:01","dev","Airline",1
"2017-11-23 15:39:39","dev","Airline",1
"2017-11-23 15:45:23","dev","Airline",1
"2017-11-23 15:49:07","dev","Airline",1
"2017-11-23 16:00:32","dev","Airline",1
"2017-11-24 04:44:47","dev","Airline",1
"2017-11-24 04:45:17","dev","Airline",1
"2017-11-24 04:45:51","dev","Airline",1
"2017-11-24 04:46:31","dev","Train",1
"2017-11-24 04:46:58","dev","Cruise",1
"2017-11-24 05:57:13","dev","Airline",1
"2017-11-24 05:57:41","dev","Airline",1
"2017-11-24 05:58:19","dev","Airline",1
"2017-11-24 05:59:01","dev","Train",1
"2017-11-24 05:59:27","dev","Cruise",1
"2017-11-24 06:42:08","dev","Airline",1
"2017-11-24 06:42:40","dev","Airline",1
"2017-11-24 06:43:16","dev","Airline",1
"2017-11-24 06:44:03","dev","Train",1
"2017-11-24 06:44:31","dev","Cruise",1
"2017-11-24 09:46:11","dev","Airline",1
"2017-11-24 10:07:35","dev","Airline",1
"2017-11-24 11:04:56","dev","Cruise",1
"2017-11-24 11:10:17","dev","Cruise",1
"2017-11-24 11:11:52","dev","Cruise",1
"2017-11-24 11:13:02","dev","Cruise",1
"2017-11-24 11:14:29","dev","Airline",1
"2017-11-24 11:47:47","dev","Airline",1
"2017-11-24 11:48:02","dev","Airline",1
"2017-11-24 11:48:20","dev","Airline",1
"2017-11-24 11:48:54","dev","Train",1
"2017-11-27 04:45:33","dev","Airline",1
"2017-11-27 04:46:05","dev","Airline",1
"2017-11-27 04:46:45","dev","Airline",1
"2017-11-27 04:47:27","dev","Train",1
"2017-11-27 04:47:52","dev","Cruise",1
"2017-11-27 05:58:27","dev","Airline",1
"2017-11-27 05:58:56","dev","Airline",1
"2017-11-27 05:59:28","dev","Airline",1
"2017-11-27 06:00:10","dev","Train",1
"2017-11-27 06:00:37","dev","Cruise",1
"2017-11-27 06:41:32","dev","Airline",1
"2017-11-27 06:41:58","dev","Airline",1
"2017-11-27 06:42:30","dev","Airline",1
"2017-11-27 06:43:11","dev","Train",1
"2017-11-27 06:43:38","dev","Cruise",1
"2017-11-27 14:18:51","dev","Airline",1
"2017-11-27 14:28:09","dev","Airline",1
"2017-11-27 14:36:01","dev","Airline",1
"2017-11-27 14:51:20","dev","Airline",1
"2017-11-27 15:12:59","dev","Cruise",1
"2017-11-27 15:21:50","dev","Cruise",1
"2017-11-27 16:20:30","dev","Airline",1
"2017-11-27 16:42:16","dev","Airline",1
"2017-11-27 16:47:56","dev","Airline",1
"2017-11-27 16:54:08","dev","Airline",1
"2017-11-27 17:00:32","dev","Airline",1
"2017-11-27 17:04:38","dev","Airline",1
"2017-11-27 17:07:54","dev","Airline",1
"2017-11-28 04:46:18","dev","Airline",1
"2017-11-28 04:46:52","dev","Airline",1
"2017-11-28 04:47:25","dev","Airline",1
"2017-11-28 04:48:10","dev","Train",1
"2017-11-28 04:48:37","dev","Cruise",1
"2017-11-28 05:58:04","dev","Airline",1
"2017-11-28 05:58:32","dev","Airline",1
"2017-11-28 05:59:09","dev","Airline",1
"2017-11-28 05:59:51","dev","Train",1
"2017-11-28 06:00:17","dev","Cruise",1
"2017-11-28 06:38:19","dev","Airline",1
"2017-11-28 06:38:47","dev","Airline",1
"2017-11-28 06:39:23","dev","Airline",1
"2017-11-28 06:40:03","dev","Train",1
"2017-11-28 06:40:26","dev","Cruise",1
"2017-11-28 15:31:21","dev","Cruise",1
"2017-11-28 15:31:42","dev","Cruise",1
"2017-11-28 15:40:59","dev","Cruise",1
"2017-11-28 16:59:34","dev","Train",1
"2017-11-28 17:03:08","dev","Train",1
"2017-11-28 17:24:35","dev","Train",1
"2017-11-29 04:44:53","dev","Airline",1
"2017-11-29 04:45:25","dev","Airline",1
"2017-11-29 04:46:00","dev","Airline",1
"2017-11-29 04:46:43","dev","Train",1
"2017-11-29 04:47:11","dev","Cruise",1
"2017-11-29 05:55:47","dev","Airline",1
"2017-11-29 05:56:16","dev","Airline",1
"2017-11-29 05:56:48","dev","Airline",1
"2017-11-29 05:57:37","dev","Train",1
"2017-11-29 05:58:04","dev","Cruise",1
"2017-11-29 06:37:37","dev","Airline",1
"2017-11-29 06:38:03","dev","Airline",1
"2017-11-29 06:38:37","dev","Airline",1
"2017-11-29 06:39:22","dev","Train",1
"2017-11-29 06:39:52","dev","Cruise",1
"2017-11-29 12:29:06","dev","Train",1
"2017-11-29 12:31:40","dev","Airline",1
"2017-11-29 13:09:35","dev","Train",1
"2017-11-29 13:12:57","dev","Train",1
"2017-11-29 13:33:40","dev","Train",1
"2017-11-29 13:44:53","dev","Train",1
"2017-11-29 13:55:53","dev","Train",1
"2017-11-29 14:12:48","dev","Airline",1
