Event,Monitor,Date-Time,Reason,Duration,"Duration (in mins.)"
Up,"Landing page","2017-11-21 18:54:50",OK,"16 hrs, 19 mins",979
Down,"Landing page","2017-11-21 18:52:18","Bad Gateway","0 hrs, 2 mins",3
Up,"Landing page","2017-11-16 11:07:07",OK,"127 hrs, 45 mins",7665
Up,"Profile page","2017-11-16 11:06:57","Keyword Found","144 hrs, 7 mins",8647
Started,"Landing page","2017-11-16 11:06:05",Started,"0 hrs, 1 mins",1
Started,"Profile page","2017-11-16 11:05:58",Started,"0 hrs, 0 mins",1
Paused,"Profile page","2017-11-16 10:52:28",Paused,"0 hrs, 13 mins",14
Paused,"Landing page","2017-11-16 10:50:57",Paused,"0 hrs, 15 mins",15
Down,"Profile page","2017-11-16 10:40:50","Keyword Not Found","0 hrs, 11 mins",12
Down,"Landing page","2017-11-16 10:10:30","Connection Timeout","0 hrs, 40 mins",40
Up,"Landing page","2017-10-17 22:39:23",OK,"707 hrs, 31 mins",42451
Down,"Landing page","2017-10-17 22:37:58","Connection Timeout","0 hrs, 1 mins",1
Up,"Profile page","2017-09-20 21:10:23","Keyword Found","1357 hrs, 30 mins",81450
Up,"Landing page","2017-09-20 21:10:18",OK,"649 hrs, 27 mins",38968
Down,"Landing page","2017-09-20 20:52:44","CloudFlare SSL Handshake","0 hrs, 17 mins",18
Down,"Profile page","2017-09-20 20:52:39","Keyword Not Found","0 hrs, 17 mins",18
Up,"Profile page","2017-08-18 19:13:25","Keyword Found","793 hrs, 39 mins",47619
Started,"Profile page","2017-08-18 19:13:22",Started,"0 hrs, 0 mins",0
Up,"Landing page","2017-08-18 19:13:21",OK,"793 hrs, 39 mins",47619
Started,"Landing page","2017-08-18 19:13:18",Started,"0 hrs, 0 mins",0
Paused,"Landing page","2017-08-18 19:09:54",Paused,"0 hrs, 3 mins",3
Paused,"Profile page","2017-08-18 19:09:28",Paused,"0 hrs, 3 mins",4
Down,"Landing page","2017-08-18 19:04:02","Service Unavailable","0 hrs, 5 mins",6
Down,"Profile page","2017-08-18 19:02:51","Keyword Not Found","0 hrs, 6 mins",7
Up,"Profile page","2017-07-26 19:27:46","Keyword Found","551 hrs, 35 mins",33095
Started,"Profile page","2017-07-26 19:27:26",Started,"0 hrs, 0 mins",0
Up,"Landing page","2017-07-26 11:46:11",OK,"559 hrs, 17 mins",33558
Started,"Landing page","2017-07-26 11:45:53",Started,"0 hrs, 0 mins",0
Paused,"Landing page","2017-07-26 11:45:51",Paused,"0 hrs, 0 mins",0
Up,"Landing page","2017-07-26 11:45:06",OK,"0 hrs, 0 mins",1
Started,"Landing page","2017-07-26 11:44:47",Started,"0 hrs, 0 mins",0
